index,predicted_rating,actual_rating
0,3,5
1,3,5
2,4,5
3,3,5
4,4,2
5,4,3
6,4,5
7,4,4
8,4,1
9,4,5
10,3,5
11,3,5
12,3,2
13,4,2
14,4,4
15,4,4
16,4,5
17,3,4
18,4,2
19,4,5
20,4,1
21,4,5
22,3,3
23,4,1
24,4,4
25,4,5
26,4,1
27,4,2
28,4,4
29,4,5
30,4,2
31,3,1
32,4,5
33,4,2
34,4,4
35,4,4
36,4,5
37,4,2
38,4,4
39,4,5
40,4,5
41,4,2
42,4,5
43,4,4
44,3,5
45,3,5
46,4,5
47,4,3
48,4,3
49,4,5
50,4,3
51,4,5
52,4,5
53,3,4
54,3,4
55,4,5
56,4,5
57,4,5
58,4,5
59,4,5
60,4,2
61,4,1
62,4,5
63,4,2
64,4,4
65,4,5
66,4,3
67,4,4
68,4,4
69,4,5
70,4,4
71,4,5
72,2,4
73,3,3
74,4,5
75,4,2
76,4,3
77,4,5
78,4,5
79,4,1
80,4,4
81,3,4
82,4,5
83,4,4
84,4,5
85,4,3
86,4,4
87,4,5
88,4,4
89,4,3
90,4,5
91,4,3
92,4,5
93,4,1
94,4,5
95,1,5
96,4,3
97,4,4
98,4,3
99,4,4
100,4,3
101,2,4
102,4,5
103,4,4
104,4,5
105,4,2
106,4,5
107,4,4
108,4,5
109,4,5
110,4,5
111,4,5
112,2,5
113,4,4
114,4,3
115,4,5
116,3,4
117,4,3
118,4,5
119,4,5
120,3,5
121,4,4
122,4,4
123,4,2
124,3,5
125,4,5
126,3,4
127,4,5
128,4,5
129,4,1
130,3,5
131,3,5
132,3,5
133,4,2
134,4,5
135,4,3
136,4,5
137,4,5
138,4,2
139,5,5
140,4,4
141,4,5
142,4,4
143,4,5
144,2,5
145,4,5
146,4,1
147,4,5
148,4,5
149,4,4
150,4,5
151,4,5
152,4,2
153,4,4
154,4,5
155,4,3
156,3,3
157,4,3
158,3,4
159,4,2
160,4,5
161,4,5
162,4,4
163,4,5
164,4,5
165,3,3
166,4,5
167,4,5
168,4,1
169,4,2
170,4,4
171,4,2
172,4,5
173,4,5
174,4,5
175,4,2
176,4,3
177,4,5
178,4,5
179,3,3
180,4,4
181,5,5
182,3,4
183,3,5
184,3,4
185,4,5
186,4,4
187,4,1
188,4,4
189,3,5
190,4,4
191,3,5
192,4,4
193,4,5
194,4,4
195,3,5
196,4,2
197,4,5
198,4,5
199,3,4
200,4,5
201,4,3
202,4,5
203,4,3
204,4,3
205,4,4
206,3,3
207,4,5
208,4,4
209,4,5
210,4,5
211,4,1
212,4,5
213,4,5
214,4,4
215,4,3
216,4,4
217,4,5
218,4,4
219,4,5
220,4,5
221,4,5
222,4,3
223,4,5
224,4,1
225,4,4
226,4,5
227,4,5
228,5,5
229,4,5
230,4,4
231,4,5
232,4,4
233,4,4
234,4,5
235,4,5
236,4,3
237,2,3
238,4,5
239,4,1
240,4,5
241,3,1
242,4,3
243,3,4
244,4,4
245,3,5
246,4,5
247,4,5
248,5,1
249,3,5
250,4,2
251,4,5
252,4,3
253,4,4
254,3,5
255,4,3
256,4,5
257,4,5
258,2,3
259,4,5
260,4,4
261,4,3
262,4,4
263,3,4
264,4,4
265,4,5
266,4,1
267,4,5
268,3,3
269,4,3
270,3,5
271,4,3
272,4,5
273,4,3
274,4,4
275,3,2
276,4,5
277,3,4
278,4,5
279,4,4
280,3,5
281,4,4
282,4,5
283,4,4
284,3,5
285,4,4
286,4,2
287,4,5
288,4,4
289,2,3
290,4,4
291,4,2
292,2,1
293,4,1
294,4,3
295,4,3
296,4,5
297,4,2
298,4,5
299,4,3
300,4,5
301,4,4
302,4,1
303,4,4
304,4,2
305,3,5
306,4,4
307,4,4
308,4,4
309,4,5
310,4,4
311,4,4
312,4,3
313,4,5
314,4,4
315,4,5
316,4,3
317,4,4
318,4,5
319,4,5
320,4,4
321,4,5
322,4,5
323,4,3
324,3,4
325,4,5
326,4,3
327,4,5
328,4,5
329,4,3
